,name,planet_mass,stellar_magnitude,planet_type,planet_radius,eccentricity
1050,K2-127 b,0.167 Jupiters,15.037,Gas Giant,0.747 x Jupiter,0.12
1051,K2-128 b,2.6 Earths,12.627,Super Earth,1.42 x Earth,0.23
1052,K2-129 b,1.12 Earths,13.63,Super Earth,1.04 x Earth,0.13
1053,K2-12 b,6.04 Earths,12.258,Neptune-like,0.208 x Jupiter,0
1054,K2-130 b,2.1 Earths,12.759,Super Earth,1.25 x Earth,0.17
1055,K2-131 b,6.3 Earths,12.115,Super Earth,1.7 x Earth,0
1056,K2-132 b,0.49 Jupiters,11.897,Gas Giant,1.3 x Jupiter,0.29
1057,K2-133 b,2.36 Earths,14.288,Super Earth,1.34 x Earth,0
1058,K2-133 c,3.2 Earths,14.288,Super Earth,1.603 x Earth,0
1059,K2-133 d,4.67 Earths,14.288,Super Earth,2.003 x Earth,0
1060,K2-133 e,3.64 Earths,14.288,Super Earth,1.73 x Earth,0
1061,K2-136 b,0.937 Earths,10.855,Terrestrial,0.99 x Earth,0.1
1062,K2-136 c,8.8 Earths,10.855,Neptune-like,0.26 x Jupiter,0.13
1063,K2-136 d,2.7 Earths,10.855,Super Earth,1.45 x Earth,0.14
1064,K2-137 b,0.5 Jupiters,15.498,Terrestrial,0.89 x Earth,0
1065,K2-138 b,3.09 Earths,12.21,Super Earth,1.57 x Earth,< 0.403
1066,K2-138 c,6.9 Earths,12.21,Neptune-like,0.225 x Jupiter,< 0.296
1067,K2-138 d,7.56 Earths,12.21,Neptune-like,0.237 x Jupiter,< 0.348
1068,K2-138 e,10.8 Earths,12.21,Neptune-like,0.294 x Jupiter,< 0.315
1069,K2-138 f,8.3 Earths,12.21,Neptune-like,0.251 x Jupiter,< 0.364
1070,K2-139 b,0.387 Jupiters,11.653,Gas Giant,0.813 x Jupiter,0.12
1071,K2-13 b,4.23 Earths,12.901,Super Earth,1.89 x Earth,0
1072,K2-140 b,1.019 Jupiters,12.624,Gas Giant,1.093 x Jupiter,0.12
1073,K2-141 b,5.08 Earths,11.389,Super Earth,1.51 x Earth,0
1074,K2-141 c,7.4 Earths,11.389,Neptune-like,0.624 x Jupiter,0
1075,K2-146 b,5.77 Earths,16.248,Super Earth,2.05 x Earth,0.13
1076,K2-146 c,7.49 Earths,16.248,Super Earth,2.19 x Earth,0.08
1077,K2-147 b,2.48 Earths,14.019,Super Earth,1.38 x Earth,0
1078,K2-148 b,2.33 Earths,13.507,Super Earth,1.33 x Earth,0
1079,K2-148 c,3.64 Earths,13.507,Super Earth,1.73 x Earth,0
1080,K2-148 d,3.33 Earths,13.507,Super Earth,1.64 x Earth,0
1081,K2-149 b,3.33 Earths,14.484,Super Earth,1.64 x Earth,0
1082,K2-14 b,20.7 Earths,16.31,Neptune-like,0.429 x Jupiter,0.14
1083,K2-150 b,4.66 Earths,15.829,Super Earth,2.0 x Earth,0
1084,K2-151 b,2.83 Earths,14.14,Super Earth,1.49 x Earth,0
1085,K2-152 b,5.86 Earths,13.728,Neptune-like,0.204 x Jupiter,0
1086,K2-153 b,4.66 Earths,14.979,Super Earth,2.0 x Earth,0
1087,K2-154 b,4.62 Earths,14.033,Super Earth,1.99 x Earth,0
1088,K2-154 c,4.94 Earths,14.033,Super Earth,2.07 x Earth,0
1089,K2-155 b,3.89 Earths,12.806,Super Earth,1.8 x Earth,0
1090,K2-155 c,7.27 Earths,12.806,Neptune-like,0.232 x Jupiter,0
1091,K2-155 d,4.27 Earths,12.806,Super Earth,1.9 x Earth,0
1092,K2-156 b,1.6 Earths,13.424,Super Earth,1.15 x Earth,0
1093,K2-157 b,1.18 Earths,12.823,Super Earth,1.055 x Earth,0
1094,K2-158 b,7.46 Earths,11.774,Neptune-like,0.236 x Jupiter,0
1095,K2-158 c,2.18 Earths,11.774,Super Earth,1.28 x Earth,0
1096,K2-159 b,5.73 Earths,11.994,Neptune-like,0.202 x Jupiter,0
1097,K2-15 b,6.71 Earths,14.663,Neptune-like,0.221 x Jupiter,0
1098,K2-160 b,10.2 Earths,12.649,Neptune-like,0.284 x Jupiter,0
1099,K2-161 b,31.1 Earths,12.631,Neptune-like,0.546 x Jupiter,0
1100,K2-155 c,7.27 Earths,12.806,Neptune-like,0.232 x Jupiter,0
1101,K2-155 d,4.27 Earths,12.806,Super Earth,1.9 x Earth,0
1102,K2-156 b,1.6 Earths,13.424,Super Earth,1.15 x Earth,0
1103,K2-157 b,1.18 Earths,12.823,Super Earth,1.055 x Earth,0
1104,K2-158 b,7.46 Earths,11.774,Neptune-like,0.236 x Jupiter,0
1105,K2-158 c,2.18 Earths,11.774,Super Earth,1.28 x Earth,0
1106,K2-159 b,5.73 Earths,11.994,Neptune-like,0.202 x Jupiter,0
1107,K2-15 b,6.71 Earths,14.663,Neptune-like,0.221 x Jupiter,0
1108,K2-160 b,10.2 Earths,12.649,Neptune-like,0.284 x Jupiter,0
1109,K2-161 b,31.1 Earths,12.631,Neptune-like,0.546 x Jupiter,0
1110,K2-16 b,4.74 Earths,14.67,Super Earth,2.02 x Earth,0
1111,K2-16 c,6.99 Earths,14.67,Neptune-like,0.227 x Jupiter,0
1112,K2-170 b,2.6 Earths,12.633,Super Earth,1.418 x Earth,0
1113,K2-170 c,3.9 Earths,12.633,Super Earth,1.802 x Earth,0
1114,K2-171 b,7.69 Earths,12.66,Neptune-like,0.24 x Jupiter,0
1115,K2-172 b,3.42 Earths,12.438,Super Earth,1.666 x Earth,0
1116,K2-172 c,10.4 Earths,12.438,Neptune-like,0.286 x Jupiter,0
1117,K2-173 b,3.22 Earths,12.403,Super Earth,1.608 x Earth,0
1118,K2-174 b,7.27 Earths,12.424,Neptune-like,0.232 x Jupiter,0
1119,K2-175 b,4.81 Earths,10.836,Super Earth,2.038 x Earth,0
1120,K2-176 b,2.83 Earths,12.893,Super Earth,1.491 x Earth,0
1121,K2-177 b,5.13 Earths,12.645,Neptune-like,2.116 x Earth,0
1122,K2-178 b,12.4 Earths,12.403,Neptune-like,0.317 x Jupiter,0
1123,K2-179 b,6.86 Earths,12.956,Neptune-like,0.224 x Jupiter,0
1124,K2-17 b,5.6 Earths,13.519,Neptune-like,2.23 x Earth,0.18
1125,K2-180 b,5.95 Earths,12.601,Neptune-like,0.206 x Jupiter,0
1126,K2-181 b,8.45 Earths,12.749,Neptune-like,0.253 x Jupiter,0
1127,K2-182 b,8.05 Earths,11.997,Neptune-like,0.246 x Jupiter,0
1128,K2-183 b,7.27 Earths,12.846,Neptune-like,0.232 x Jupiter,0
1129,K2-183 c,8.6 Earths,12.846,Neptune-like,0.256 x Jupiter,0
1130,K2-183 d,8.55 Earths,12.846,Neptune-like,0.255 x Jupiter,0
1131,K2-184 b,3.02 Earths,10.345,Super Earth,1.55 x Earth,0
1132,K2-185 b,2.28 Earths,12.215,Super Earth,1.313 x Earth,0
1133,K2-186 b,10.2 Earths,12.307,Neptune-like,0.283 x Jupiter,0
1134,K2-187 b,2.24 Earths,13.081,Super Earth,1.3 x Earth,0
1135,K2-187 c,3.89 Earths,13.081,Super Earth,1.8 x Earth,0
1136,K2-187 d,10.2 Earths,13.081,Neptune-like,0.283 x Jupiter,0
1137,K2-187 e,6.26 Earths,13.081,Neptune-like,0.212 x Jupiter,0
1138,K2-188 b,2.39 Earths,12.646,Super Earth,1.35 x Earth,0
1139,K2-188 c,8.4 Earths,12.646,Neptune-like,0.252 x Jupiter,0
1140,K2-189 b,2.92 Earths,12.399,Super Earth,1.52 x Earth,0
1141,K2-189 c,6.8 Earths,12.399,Neptune-like,0.223 x Jupiter,0
1142,K2-18 b,8.92 Earths,13.496,Super Earth,0.211 x Jupiter,0.2
1143,K2-18 c,7.51 Earths,13.496,Neptune-like,0.236 x Jupiter,< 0.47
1144,K2-190 b,2.41 Earths,11.138,Super Earth,1.357 x Earth,0
1145,K2-190 c,1.34 Earths,11.138,Super Earth,1.093 x Earth,0
1146,K2-191 b,3.12 Earths,13.258,Super Earth,1.579 x Earth,0
1147,K2-192 b,2.92 Earths,12.704,Super Earth,1.52 x Earth,0
1148,K2-193 b,14.8 Earths,13.251,Neptune-like,0.352 x Jupiter,0
1149,K2-194 b,12.9 Earths,12.908,Neptune-like,0.325 x Jupiter,0
1150,K2-195 b,9.96 Earths,12.497,Neptune-like,0.279 x Jupiter,0
1151,K2-195 c,7.16 Earths,12.497,Neptune-like,0.23 x Jupiter,0
1152,K2-196 b,12.6 Earths,12.06,Neptune-like,0.321 x Jupiter,0
1153,K2-197 b,7.08 Earths,12.157,Neptune-like,0.228 x Jupiter,0
1154,K2-198 b,16.3 Earths,10.971,Neptune-like,0.374 x Jupiter,0
1155,K2-198 c,2.61 Earths,10.971,Super Earth,1.423 x Earth,0
1156,K2-198 d,6.52 Earths,10.971,Neptune-like,0.218 x Jupiter,0
1157,K2-199 b,4.16 Earths,12.289,Super Earth,1.87 x Earth,0
1158,K2-199 c,8.15 Earths,12.289,Neptune-like,0.248 x Jupiter,0
1159,K2-19 b,28.5 Earths,13.0,Neptune-like,0.691 x Jupiter,0.12
1160,K2-19 c,15.9 Earths,13.0,Neptune-like,0.434 x Jupiter,0
1161,K2-19 d,14 Earths,13.0,Super Earth,1.14 x Earth,0
1162,K2-200 b,2.43 Earths,12.459,Super Earth,1.364 x Earth,0
1163,K2-201 b,2.54 Earths,12.809,Super Earth,1.4 x Earth,0
1164,K2-201 c,10.8 Earths,12.809,Neptune-like,0.293 x Jupiter,0
1165,K2-202 b,5.91 Earths,13.297,Neptune-like,0.205 x Jupiter,0
1166,K2-203 b,2.45 Earths,12.353,Super Earth,1.371 x Earth,0
1167,K2-204 b,9.51 Earths,13.01,Neptune-like,0.272 x Jupiter,0
1168,K2-205 b,4.64 Earths,12.391,Super Earth,1.996 x Earth,0
1169,K2-206 b,8.22 Earths,13.1,Neptune-like,0.249 x Jupiter,0
1170,K2-207 b,7.3 Earths,13.166,Neptune-like,0.232 x Jupiter,0
1171,K2-208 b,3.46 Earths,12.503,Super Earth,1.679 x Earth,0
1172,K2-209 b,0.586 Earths,11.205,Terrestrial,0.869 x Earth,0
1173,K2-210 b,0.474 Earths,11.535,Terrestrial,0.819 x Earth,0
1174,K2-211 b,2.46 Earths,13.075,Super Earth,1.375 x Earth,0
1175,K2-212 b,6.9 Earths,13.1,Neptune-like,0.225 x Jupiter,0
1176,K2-213 b,2.9 Earths,11.803,Super Earth,1.514 x Earth,0
1177,K2-214 b,6.48 Earths,11.805,Neptune-like,0.217 x Jupiter,0
1178,K2-215 b,5.16 Earths,12.986,Neptune-like,2.124 x Earth,0
1179,K2-216 b,8 Earths,12.476,Super Earth,1.75 x Earth,0
1180,K2-217 b,12.5 Earths,12.187,Neptune-like,0.319 x Jupiter,0
1181,K2-218 b,7.13 Earths,12.876,Neptune-like,0.229 x Jupiter,0
1182,K2-219 b,2.38 Earths,12.09,Super Earth,1.348 x Earth,0
1183,K2-219 c,2.66 Earths,12.09,Super Earth,1.438 x Earth,0
1184,K2-219 d,7.16 Earths,12.09,Neptune-like,0.23 x Jupiter,0
1185,K2-21 b,4.04 Earths,12.85,Neptune-like,1.84 x Earth,0.1
1186,K2-21 c,6.76 Earths,12.85,Super Earth,0.222 x Jupiter,0.21
1187,K2-220 b,6.3 Earths,11.89,Neptune-like,0.213 x Jupiter,0
1188,K2-221 b,3.46 Earths,12.703,Super Earth,1.679 x Earth,0
1189,K2-222 b,6.3 Earths,9.543,Neptune-like,0.213 x Jupiter,0
1190,K2-223 b,0.64 Earths,11.431,Terrestrial,0.89 x Earth,0
1191,K2-223 c,3.09 Earths,11.431,Super Earth,1.57 x Earth,0
1192,K2-224 b,3.05 Earths,12.682,Super Earth,1.56 x Earth,0
1193,K2-224 c,6.39 Earths,12.682,Neptune-like,0.215 x Jupiter,0
1194,K2-225 b,12 Earths,11.836,Neptune-like,0.311 x Jupiter,0
1195,K2-226 b,2.99 Earths,12.308,Super Earth,1.54 x Earth,0
1196,K2-227 b,3.41 Earths,12.015,Super Earth,1.666 x Earth,0
1197,K2-228 b,1.92 Earths,12.995,Super Earth,1.21 x Earth,0
1198,K2-229 b,2.49 Earths,10.985,Super Earth,1.14 x Earth,0
1199,K2-229 c,21.3 Earths,10.985,Super Earth,2.03 x Earth,0
1200,K2-223 b,0.64 Earths,11.431,Terrestrial,0.89 x Earth,0
1201,K2-223 c,3.09 Earths,11.431,Super Earth,1.57 x Earth,0
1202,K2-224 b,3.05 Earths,12.682,Super Earth,1.56 x Earth,0
1203,K2-224 c,6.39 Earths,12.682,Neptune-like,0.215 x Jupiter,0
1204,K2-225 b,12 Earths,11.836,Neptune-like,0.311 x Jupiter,0
1205,K2-226 b,2.99 Earths,12.308,Super Earth,1.54 x Earth,0
1206,K2-227 b,3.41 Earths,12.015,Super Earth,1.666 x Earth,0
1207,K2-228 b,1.92 Earths,12.995,Super Earth,1.21 x Earth,0
1208,K2-229 b,2.49 Earths,10.985,Super Earth,1.14 x Earth,0
1209,K2-229 c,21.3 Earths,10.985,Super Earth,2.03 x Earth,0
1210,K2-239 c,0.972 Earths,14.549,Terrestrial,1.0 x Earth,0
1211,K2-239 d,1.37 Earths,14.549,Super Earth,1.1 x Earth,0
1212,K2-240 b,4.66 Earths,13.392,Super Earth,2.0 x Earth,0
1213,K2-240 c,3.89 Earths,13.392,Super Earth,1.8 x Earth,0
1214,K2-241 b,7.04 Earths,11.97,Neptune-like,0.227 x Jupiter,0
1215,K2-242 b,6.99 Earths,16.588,Neptune-like,0.227 x Jupiter,0
1216,K2-243 b,5.35 Earths,10.97,Neptune-like,2.17 x Earth,0
1217,K2-243 c,4.7 Earths,10.97,Super Earth,2.01 x Earth,0
1218,K2-244 b,3.71 Earths,11.78,Super Earth,1.75 x Earth,0
1219,K2-245 b,17.4 Earths,12.212,Neptune-like,0.387 x Jupiter,0
1220,K2-246 b,12 Earths,14.55,Neptune-like,0.311 x Jupiter,0
1221,K2-247 b,5.14 Earths,14.956,Neptune-like,2.12 x Earth,0
1222,K2-247 c,5.43 Earths,14.956,Neptune-like,2.19 x Earth,0
1223,K2-248 b,7.13 Earths,13.402,Neptune-like,0.229 x Jupiter,0
1224,K2-249 b,8.2 Earths,11.827,Neptune-like,0.249 x Jupiter,0
1225,K2-24 b,19 Earths,11.07,Neptune-like,0.482 x Jupiter,0.06
1226,K2-24 c,15.4 Earths,11.07,Neptune-like,0.669 x Jupiter,< 0.07
1227,K2-250 b,6.53 Earths,14.267,Neptune-like,0.218 x Jupiter,0
1228,K2-251 b,6.12 Earths,15.621,Neptune-like,0.21 x Jupiter,0
1229,K2-252 b,3.68 Earths,12.847,Super Earth,1.74 x Earth,0
1230,K2-253 b,Unknown,14.868,Gas Giant,1.13 x Jupiter,0
1231,K2-254 b,3.29 Earths,14.183,Super Earth,1.63 x Earth,0
1232,K2-254 c,5.43 Earths,14.183,Neptune-like,2.19 x Earth,0
1233,K2-255 b,8.75 Earths,13.756,Neptune-like,0.259 x Jupiter,0
1234,K2-256 b,7.41 Earths,14.939,Neptune-like,0.235 x Jupiter,0
1235,K2-257 b,0.498 Earths,13.716,Terrestrial,0.83 x Earth,0
1236,K2-258 b,9.27 Earths,13.298,Neptune-like,0.268 x Jupiter,0
1237,K2-259 b,5.99 Earths,12.536,Neptune-like,0.207 x Jupiter,0
1238,K2-25 b,11.6 Earths,15.881,Neptune-like,0.306 x Jupiter,0.27
1239,K2-260 b,1.42 Jupiters,12.689,Gas Giant,1.552 x Jupiter,0
1240,K2-261 b,0.223 Jupiters,10.612,Gas Giant,0.85 x Jupiter,0.39
1241,K2-263 b,14.8 Earths,11.606,Super Earth,0.215 x Jupiter,< 0.14
1242,K2-264 b,5.61 Earths,15.662,Neptune-like,2.231 x Earth,< 0.5
1243,K2-264 c,7.6 Earths,15.662,Neptune-like,0.238 x Jupiter,< 0.45
1244,K2-265 b,6.54 Earths,11.102,Super Earth,1.71 x Earth,0.08
1245,K2-266 b,11.26782 Earths,11.808,Neptune-like,0.294 x Jupiter,0
1246,K2-266 c,0.29013 Earths,11.808,Terrestrial,0.705 x Earth,0.04
1247,K2-266 d,8.9 Earths,11.808,Neptune-like,0.261 x Jupiter,0.05
1248,K2-266 e,14.3 Earths,11.808,Neptune-like,0.244 x Jupiter,0.04
1249,K2-268 b,2.57 Earths,13.853,Super Earth,1.41 x Earth,0
1250,K2-268 c,7.7 Earths,13.853,Neptune-like,0.24 x Jupiter,0
1251,K2-269 b,3.09 Earths,11.784,Super Earth,1.57 x Earth,0
1252,K2-26 b,7.61 Earths,14.53,Neptune-like,0.238 x Jupiter,0
1253,K2-270 b,2.48 Earths,13.782,Super Earth,1.38 x Earth,0
1254,K2-270 c,9.01 Earths,13.782,Neptune-like,0.263 x Jupiter,0
1255,K2-271 b,0.131 Jupiters,13.827,Gas Giant,0.649 x Jupiter,0
1256,K2-272 b,8.8 Earths,13.841,Neptune-like,0.26 x Jupiter,0
1257,K2-273 b,17.9 Earths,13.371,Neptune-like,0.394 x Jupiter,0
1258,K2-274 b,5.48 Earths,13.086,Neptune-like,2.2 x Earth,0
1259,K2-275 b,5.65 Earths,12.063,Neptune-like,0.2 x Jupiter,0
1260,K2-275 c,6.08 Earths,12.063,Neptune-like,0.209 x Jupiter,0
1261,K2-276 b,13.7 Earths,14.627,Neptune-like,0.336 x Jupiter,0
1262,K2-277 b,4.94 Earths,10.364,Super Earth,2.07 x Earth,0
1263,K2-278 b,9.17 Earths,13.412,Neptune-like,0.266 x Jupiter,0
1264,K2-279 b,1.92 Earths,11.491,Super Earth,1.21 x Earth,0
1265,K2-27 b,30.9 Earths,12.64,Neptune-like,0.4 x Jupiter,0.25
1266,K2-280 b,0.144 Jupiters,12.536,Gas Giant,0.684 x Jupiter,0
1267,K2-281 b,0.16 Jupiters,15.117,Gas Giant,0.73 x Jupiter,0
1268,K2-282 b,8.35 Earths,14.042,Neptune-like,0.252 x Jupiter,0
1269,K2-283 b,12.2 Earths,14.445,Neptune-like,0.314 x Jupiter,0
1270,K2-284 b,8.15 Earths,13.322,Neptune-like,0.248 x Jupiter,0.08
1271,K2-285 b,9.68 Earths,12.03,Super Earth,0.231 x Jupiter,0
1272,K2-285 c,15.68 Earths,12.03,Neptune-like,0.315 x Jupiter,0
1273,K2-285 d,6.5 Earths,12.03,Neptune-like,0.221 x Jupiter,0
1274,K2-285 e,10.7 Earths,12.03,Neptune-like,1.95 x Earth,0
1275,K2-286 b,5.06 Earths,12.763,Neptune-like,2.1 x Earth,0
1276,K2-287 b,0.315 Jupiters,11.41,Gas Giant,0.847 x Jupiter,0.48
1277,K2-288 B b,4.27 Earths,13.868,Super Earth,1.9 x Earth,0
1278,K2-289 b,0.192 Jupiters,14.465,Gas Giant,0.812 x Jupiter,0
1279,K2-28 b,5.99 Earths,16.061,Neptune-like,0.207 x Jupiter,0
1280,K2-290 b,10.9 Earths,11.114,Super Earth,0.273 x Jupiter,0
1281,K2-290 c,0.774 Jupiters,11.114,Gas Giant,1.006 x Jupiter,0
1282,K2-291 b,6.49 Earths,10.014,Super Earth,1.589 x Earth,0
1283,K2-292 b,24.5 Earths,9.917,Neptune-like,0.235 x Jupiter,0.04
1284,K2-293 b,6.57 Earths,13.357,Neptune-like,0.219 x Jupiter,0
1285,K2-294 b,3.39 Earths,12.502,Super Earth,1.66 x Earth,0
1286,K2-295 b,0.335 Jupiters,13.946,Gas Giant,0.897 x Jupiter,0
1287,K2-29 b,0.73 Jupiters,12.526,Gas Giant,1.19 x Jupiter,0.07
1288,K2-308 b,0.222 Jupiters,14.963,Gas Giant,0.884 x Jupiter,0
1289,K2-30 b,0.579 Jupiters,13.53,Gas Giant,1.039 x Jupiter,0
1290,K2-315 b,0.809 Earths,17.67,Terrestrial,0.95 x Earth,0
1291,K2-316 b,2.33 Earths,15.514,Super Earth,1.33 x Earth,0
1292,K2-316 c,4.01 Earths,15.514,Super Earth,1.83 x Earth,0
1293,K2-317 b,8.91 Earths,16.639,Neptune-like,0.261 x Jupiter,0
1294,K2-318 b,3.39 Earths,15.269,Super Earth,1.66 x Earth,0
1295,K2-319 b,8.2 Earths,12.172,Neptune-like,0.249 x Jupiter,0
1296,K2-31 b,1.774 Jupiters,10.775,Gas Giant,1.06 x Jupiter,0
1297,K2-320 b,7.37 Earths,16.355,Neptune-like,0.234 x Jupiter,0
1298,K2-321 b,4.46 Earths,13.677,Super Earth,1.95 x Earth,0
1299,K2-322 b,4.35 Earths,13.941,Super Earth,1.92 x Earth,0
1300,K2-323 b,5.06 Earths,14.932,Neptune-like,2.1 x Earth,0
1301,K2-324 b,6.48 Earths,15.399,Neptune-like,0.217 x Jupiter,0
1302,K2-325 b,5.48 Earths,16.137,Neptune-like,2.2 x Earth,0
1303,K2-326 b,5.82 Earths,15.342,Neptune-like,0.203 x Jupiter,0
1304,K2-32 b,16.5 Earths,12.31,Neptune-like,0.443 x Jupiter,0
1305,K2-32 c,12.1 Earths,12.31,Neptune-like,0.244 x Jupiter,0
1306,K2-32 d,10.3 Earths,12.31,Neptune-like,0.292 x Jupiter,0
1307,K2-32 e,1.01 Earths,12.31,Super Earth,1.01 x Earth,0
1308,K2-33 b,3.7 Jupiters,15.714,Neptune-like,0.45 x Jupiter,0
1309,K2-34 b,1.698 Jupiters,11.548,Gas Giant,1.245 x Jupiter,0
1310,K2-35 b,4.38 Earths,14.35,Super Earth,1.93 x Earth,0.12
1311,K2-35 c,2.3 Earths,14.35,Super Earth,1.32 x Earth,0.13
1312,K2-36 b,3.9 Earths,11.8,Super Earth,1.43 x Earth,0
1313,K2-36 c,7.8 Earths,11.8,Neptune-like,0.285 x Jupiter,0
1314,K2-37 b,3.22 Earths,12.52,Super Earth,1.61 x Earth,0
1315,K2-37 c,8 Earths,12.52,Neptune-like,0.245 x Jupiter,0
1316,K2-37 d,7.9 Earths,12.52,Neptune-like,0.244 x Jupiter,0
1317,K2-38 b,19.0698 Earths,11.39,Super Earth,1.906 x Earth,0
1318,K2-38 c,9.9 Earths,11.39,Super Earth,0.216 x Jupiter,0
1319,K2-39 b,28.6047 Earths,10.83,Neptune-like,0.56 x Jupiter,0
1320,K2-3 b,6.48 Earths,12.17,Super Earth,1.98 x Earth,0
1321,K2-3 c,2.14 Earths,12.17,Super Earth,1.56 x Earth,0
1322,K2-3 d,2.8 Earths,12.17,Super Earth,1.53 x Earth,0
1323,K2-42 b,5.27 Earths,15.023,Neptune-like,2.15 x Earth,0
1324,K2-43 b,18.5 Earths,15.596,Neptune-like,0.402 x Jupiter,0.07
1325,K2-43 c,6.44 Earths,15.596,Neptune-like,0.216 x Jupiter,0
1326,K2-44 b,7.85 Earths,12.189,Neptune-like,0.243 x Jupiter,0
1327,K2-45 b,36.4 Earths,15.78,Neptune-like,0.599 x Jupiter,0.1
1328,K2-46 b,4.86 Earths,12.029,Super Earth,2.05 x Earth,0
1329,K2-47 b,4.23 Earths,14.085,Super Earth,1.89 x Earth,0
1330,K2-48 b,5.65 Earths,14.277,Neptune-like,0.2 x Jupiter,0
1331,K2-49 b,4.38 Earths,15.668,Super Earth,1.93 x Earth,0
1332,K2-4 b,5.06 Earths,14.907,Neptune-like,2.1 x Earth,0.08
1333,K2-50 b,3.15 Earths,14.717,Super Earth,1.59 x Earth,0
1334,K2-52 b,144 Jupiters,15.255,Gas Giant,1.606 x Jupiter,0
1335,K2-53 b,7.27 Earths,12.148,Neptune-like,0.232 x Jupiter,0
1336,K2-54 b,1.6 Earths,14.042,Super Earth,1.15 x Earth,0
1337,K2-55 b,14 Earths,13.546,Neptune-like,0.341 x Jupiter,0.07
1338,K2-57 b,5.06 Earths,14.501,Neptune-like,2.1 x Earth,0
1339,K2-58 b,7.65 Earths,12.378,Neptune-like,0.239 x Jupiter,0
1340,K2-58 c,3.26 Earths,12.378,Super Earth,1.62 x Earth,0
1341,K2-58 d,3.57 Earths,12.378,Super Earth,1.71 x Earth,0
1342,K2-59 b,6.39 Earths,14.226,Neptune-like,0.215 x Jupiter,0
1343,K2-59 c,5.9 Earths,14.226,Neptune-like,0.205 x Jupiter,0
1344,K2-5 b,4.31 Earths,14.91,Super Earth,1.91 x Earth,0
1345,K2-5 c,5.73 Earths,14.91,Neptune-like,0.202 x Jupiter,0
1346,K2-60 b,0.426 Jupiters,12.789,Gas Giant,0.683 x Jupiter,0
1347,K2-61 b,6.71 Earths,12.991,Neptune-like,0.221 x Jupiter,0
1348,K2-62 b,5.22 Earths,12.397,Neptune-like,2.14 x Earth,0
1349,K2-62 c,5.22 Earths,12.397,Neptune-like,2.14 x Earth,0
1350,K2-63 b,10.5 Earths,12.876,Neptune-like,0.287 x Jupiter,0
1351,K2-63 c,14.5 Earths,12.876,Neptune-like,0.348 x Jupiter,0
1352,K2-64 b,4.94 Earths,14.086,Super Earth,2.07 x Earth,0
1353,K2-65 b,3.12 Earths,10.801,Super Earth,1.58 x Earth,0
1354,K2-66 b,21.3 Earths,11.71,Super Earth,0.222 x Jupiter,0
1355,K2-68 b,3.12 Earths,12.977,Super Earth,1.58 x Earth,0
1356,K2-69 b,5.99 Earths,15.057,Neptune-like,0.207 x Jupiter,0
1357,K2-6 b,6.8 Earths,12.654,Neptune-like,0.223 x Jupiter,0
1358,K2-70 b,8.7 Earths,12.989,Neptune-like,0.258 x Jupiter,0
1359,K2-71 b,5.27 Earths,15.189,Neptune-like,2.15 x Earth,0
1360,K2-72 b,1.28 Earths,15.309,Super Earth,1.08 x Earth,0.11
1361,K2-72 c,1.65 Earths,15.309,Super Earth,1.16 x Earth,0.11
1362,K2-72 d,1.01 Earths,15.309,Super Earth,1.01 x Earth,0.11
1363,K2-72 e,2.21 Earths,15.309,Super Earth,1.29 x Earth,0.11
1364,K2-73 b,6.57 Earths,11.345,Neptune-like,0.219 x Jupiter,0
1365,K2-74 b,5.95 Earths,12.588,Neptune-like,0.206 x Jupiter,0
1366,K2-75 b,7.61 Earths,12.701,Neptune-like,0.238 x Jupiter,0
1367,K2-75 c,8.1 Earths,12.701,Neptune-like,0.247 x Jupiter,0
1368,K2-77 b,1.9 Jupiters,12.158,Neptune-like,0.205 x Jupiter,0.14
1369,K2-79 b,13.2 Earths,12.075,Neptune-like,0.329 x Jupiter,0
1370,K2-7 b,7.61 Earths,13.213,Neptune-like,0.238 x Jupiter,0
1371,K2-80 b,4.7 Earths,12.626,Super Earth,2.01 x Earth,0
1372,K2-80 c,2.76 Earths,12.626,Super Earth,1.47 x Earth,0
1373,K2-80 d,7.04 Earths,12.626,Neptune-like,0.228 x Jupiter,0
1374,K2-81 b,4.54 Earths,14.364,Super Earth,1.97 x Earth,0.06
1375,K2-83 b,2.08 Earths,14.514,Super Earth,1.244 x Earth,0.07
1376,K2-83 c,2.8 Earths,14.514,Super Earth,1.483 x Earth,0.06
1377,K2-84 b,6.39 Earths,13.443,Neptune-like,0.215 x Jupiter,0
1378,K2-84 c,4.78 Earths,13.443,Super Earth,2.03 x Earth,0
1379,K2-85 b,1.01 Earths,12.831,Super Earth,1.01 x Earth,0.24
1380,K2-86 b,4.5 Earths,13.167,Super Earth,1.96 x Earth,0
1381,K2-87 b,0.141 Jupiters,14.134,Gas Giant,0.678 x Jupiter,0
1382,K2-88 b,2.04 Earths,15.476,Super Earth,1.23 x Earth,0.26
1383,K2-89 b,0.17 Earths,14.162,Terrestrial,0.615 x Earth,0.15
1384,K2-8 b,12.5 Earths,14.61,Neptune-like,0.319 x Jupiter,0
1385,K2-8 c,6.39 Earths,14.61,Neptune-like,0.215 x Jupiter,0
1386,K2-90 b,7.27 Earths,13.855,Neptune-like,0.232 x Jupiter,0.07
1387,K2-90 c,2.24 Earths,13.855,Super Earth,1.3 x Earth,0.19
1388,K2-91 b,1.37 Earths,15.572,Super Earth,1.1 x Earth,0.09
